Wardname,Children,Greaterthan65,nonwhite,NotBorninUK,NotEnglishspeaking
Redbridge - Clayhall,21.90166906,14.3,71,38.8,10.9
Havering - South Hornchurch,21.03514471,16.6,16.4,11.8,2.5
Havering - Cranham,17.23339719,23.5,5.6,6,1.1
Brent - Northwick Park,16.68878308,13.2,68.8,53.3,19.8
Greenwich - Greenwich West,17.43208084,7.7,33.3,34.8,9.7
Waltham Forest - William Morris,22.41314342,8,51.8,43.6,16.9
Kingston upon Thames - Norbiton,18.76916988,9.1,31,34.1,13.6
Brent - Stonebridge,28.19026208,8.7,76.5,48.8,17.2
Croydon - Croham,18.24572514,12,31.3,24.3,6.5
Barnet - Oakleigh,19.10062615,16.4,26.7,28.5,8.6
Redbridge - Wanstead,19.37971065,14.5,30,22.8,5.7
Hammersmith & Fulham - Ravenscourt Park,17.62633287,11.4,26.7,37.3,11.6
Tower Hamlets - Saint Dunstan's & Stepney Green,23.71597487,8.5,65.2,39.8,19.8
Barnet - Mill Hill,22.81719148,13.1,36.1,34.4,10.2
Tower Hamlets - Whitechapel,16.37060961,5.6,60.2,48.8,24.8
Kensington & Chelsea - Pembridge,13.31766549,11.8,22.1,51.2,20.2
Brent - Barnhill,20.87877251,12.3,69.7,56.5,22.9
Brent - Willesden Green,19.1634054,7.6,52.7,56.3,25.9
Harrow - Belmont,21.2465838,13,58.7,41.6,13.2
Lewisham - Sydenham,20.16661326,11.9,41.8,30.2,7.1
Ealing - Perivale,20.12517113,11,54.6,55.4,26.7
Hammersmith & Fulham - Munster,15.06724827,8.4,19.3,38.3,10.7
Merton - Longthornton,21.63806864,10.8,58.2,42,14.5
Wandsworth - Earlsfield,14.95986535,6.7,27.7,33.4,8.2
Bromley - Bromley Town,19.3510044,13.9,18.5,19.9,4.9
Wandsworth - Graveney,17.87077247,8.8,46.4,42.4,14.4
Hammersmith & Fulham - College Park & Old Oak,20.35967302,8.7,50,45.7,19.5
Enfield - Ponders End,25.90015322,9.1,54.6,43.5,19
Camden - Holborn & Covent Garden,12.86185979,9.4,39.8,45.6,16.3
Bromley - Kelsey & Eden Park,20.25547445,17.5,16,13.6,2.5
Newham - Canning Town North,22.95746117,7.7,59.2,47.9,18.6
Hackney - Hackney Downs,18.88398731,7.2,51.7,39.5,15.5
Islington - Caledonian,15.24899252,9,34.7,37.3,14.4
Barking & Dagenham - Thames,30.2759135,6.9,54.9,37.2,11.2
Harrow - Pinner,18.11290644,19.8,38,31.7,7.5
Islington - Mildmay,18.25501277,7.8,34.5,33.8,10.6
Hillingdon - Yeading,25.81333726,7.6,64.1,42.7,17.4
Bromley - Chelsfield & Pratts Bottom,19.29413387,18.7,9.7,9.7,1.3
Bexley - Brampton,17.24824578,20.9,13.1,10.4,1.6
Barnet - West Finchley,17.55882175,12.5,39.2,44.7,19
Barnet - Brunswick Park,20.6233988,14.4,31.6,30.9,10.2
Barnet - Burnt Oak,24.58143492,9.3,53.5,47.1,19.3
Hillingdon - Harefield,19.24584403,17,12.5,13.3,3.1
Hounslow - Heston East,20.38314798,10.5,77.4,56.5,26.1
Harrow - Marlborough,20.69499959,10.6,62.9,51.6,20.2
Westminster - Knightsbridge & Belgravia,11.46709817,13.2,30.4,59.6,23.9
Hackney - Hackney Central,17.59642971,7.7,52.7,40.5,12.8
Bromley - Copers Cope,13.16917879,16.8,17.4,20.3,4.6
Enfield - Enfield Highway,26.25569352,10.3,42.2,34.3,14.5
Lambeth - Stockwell,18.37991473,6.9,44.3,44.9,17.8
Waltham Forest - Lea Bridge,23.89126412,8.4,64.8,50.4,21.2
Lambeth - Clapham Town,14.59224357,7.3,29.3,35.2,7.8
Hounslow - Chiswick Homefields,18.33245197,11.3,18.8,34,9.8
Greenwich - Shooters Hill,20.74741309,12.4,33.5,23.8,5.2
Brent - Kenton,16.7229869,17.2,70,53.9,19.6
Harrow - Stanmore Park,17.34793837,22.4,43.3,34.5,8.8
Waltham Forest - Larkswood,19.97883038,15.3,31.2,21.8,6.3
Kensington & Chelsea - Colville,14.09812582,9.7,34,44.4,15.5
Camden - Belsize,17.44607148,12,27.8,46.3,14
Sutton - Stonecot,20.58439134,14.5,20.9,18.1,5.2
Hounslow - Hanworth Park,20.46809257,12,30.8,28.5,10.9
Kensington & Chelsea - Norland,17.47550432,14.8,25.6,40.7,14.4
Hounslow - Osterley & Spring Grove,18.17972527,12,54.4,46,15.7
Merton - Lavender Fields,20.3056556,7.3,46.8,46.1,19.6
